iteration,eigenvalue,solution_difference
0,1.42472154e+00,7.83183138e+00
1,1.42474784e+00,1.46061158e-01
2,1.42474477e+00,8.10035365e-02
3,1.42473961e+00,5.43942394e-02
4,1.42473508e+00,4.00936326e-02
5,1.42473139e+00,3.12701532e-02
6,1.42472841e+00,2.53410400e-02
7,1.42472437e+00,1.85129014e-02
8,1.42472271e+00,1.60093945e-02
9,1.42472035e+00,1.26984836e-02
10,1.42471937e+00,1.13733338e-02
11,1.42471790e+00,9.45540788e-03
12,1.42471731e+00,8.66883668e-03
13,1.42471640e+00,7.47062947e-03
14,1.42471605e+00,6.97429843e-03
15,1.42471550e+00,6.19536301e-03
16,1.42471530e+00,5.87294948e-03
17,1.42471499e+00,5.35716087e-03
18,1.42471488e+00,5.14455980e-03
19,1.42471474e+00,4.79849931e-03
20,1.42471471e+00,4.65573333e-03
21,1.42471468e+00,4.41844256e-03
